[2026-02-17T11:26:10.234+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325195.json to Snowflake stage...
[2026-02-17T11:26:10.966+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325205.json to Snowflake stage...
[2026-02-17T11:26:11.758+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325215.json to Snowflake stage...
[2026-02-17T11:26:13.201+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325226.json to Snowflake stage...
[2026-02-17T11:26:14.234+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325236.json to Snowflake stage...
[2026-02-17T11:26:15.015+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325247.json to Snowflake stage...
[2026-02-17T11:26:15.608+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325257.json to Snowflake stage...
[2026-02-17T11:26:16.434+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325269.json to Snowflake stage...
[2026-02-17T11:26:17.186+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325279.json to Snowflake stage...
[2026-02-17T11:26:18.297+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325289.json to Snowflake stage...
[2026-02-17T11:26:19.014+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325300.json to Snowflake stage...
[2026-02-17T11:26:19.751+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325334.json to Snowflake stage...
[2026-02-17T11:26:21.923+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325344.json to Snowflake stage...
[2026-02-17T11:26:23.265+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325354.json to Snowflake stage...
[2026-02-17T11:26:24.090+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325365.json to Snowflake stage...
[2026-02-17T11:26:24.773+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325375.json to Snowflake stage...
[2026-02-17T11:26:25.513+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325385.json to Snowflake stage...
[2026-02-17T11:26:26.428+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325396.json to Snowflake stage...
[2026-02-17T11:26:27.124+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325408.json to Snowflake stage...
[2026-02-17T11:26:28.134+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325419.json to Snowflake stage...
[2026-02-17T11:26:28.770+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325431.json to Snowflake stage...
[2026-02-17T11:26:29.363+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325442.json to Snowflake stage...
[2026-02-17T11:26:30.185+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325454.json to Snowflake stage...
[2026-02-17T11:26:31.008+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325464.json to Snowflake stage...
[2026-02-17T11:26:31.878+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325474.json to Snowflake stage...
[2026-02-17T11:26:32.531+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325485.json to Snowflake stage...
[2026-02-17T11:26:33.165+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325496.json to Snowflake stage...
[2026-02-17T11:26:33.716+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325507.json to Snowflake stage...
[2026-02-17T11:26:34.237+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325517.json to Snowflake stage...
