[2026-02-17T08:05:14.210+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T08:05:14.258+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-17T08:00:00+00:00 [queued]>
[2026-02-17T08:05:14.270+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-17T08:00:00+00:00 [queued]>
[2026-02-17T08:05:14.271+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T08:05:14.292+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-02-17 08:00:00+00:00
[2026-02-17T08:05:14.309+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1409) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T08:05:14.306+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-02-17T08:00:00+00:00', '--job-id', '1510', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpdy4alxkl']
[2026-02-17T08:05:14.311+0000] {standard_task_runner.py:64} INFO - Started process 1644 to run task
[2026-02-17T08:05:14.311+0000] {standard_task_runner.py:91} INFO - Job 1510: Subtask load_snowflake
[2026-02-17T08:05:14.470+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-17T08:00:00+00:00 [running]> on host 2a72b80a66a9
[2026-02-17T08:05:14.684+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T08:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T08:00:00+00:00'
[2026-02-17T08:05:14.686+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T08:05:14.733+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-02-17T08:05:14.736+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-02-17T08:05:16.662+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315083.json to Snowflake stage...
[2026-02-17T08:05:19.075+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315095.json to Snowflake stage...
[2026-02-17T08:05:19.903+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315106.json to Snowflake stage...
[2026-02-17T08:05:20.879+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315117.json to Snowflake stage...
[2026-02-17T08:05:21.435+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315128.json to Snowflake stage...
[2026-02-17T08:05:22.019+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315140.json to Snowflake stage...
[2026-02-17T08:05:22.538+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315152.json to Snowflake stage...
[2026-02-17T08:05:23.260+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315163.json to Snowflake stage...
[2026-02-17T08:05:23.913+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315174.json to Snowflake stage...
[2026-02-17T08:05:24.504+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315186.json to Snowflake stage...
[2026-02-17T08:05:25.074+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315197.json to Snowflake stage...
[2026-02-17T08:05:26.419+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315209.json to Snowflake stage...
[2026-02-17T08:05:27.158+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315221.json to Snowflake stage...
[2026-02-17T08:05:27.934+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315232.json to Snowflake stage...
[2026-02-17T08:05:28.652+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315243.json to Snowflake stage...
[2026-02-17T08:05:29.978+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315255.json to Snowflake stage...
[2026-02-17T08:05:31.306+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315267.json to Snowflake stage...
[2026-02-17T08:05:32.596+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315279.json to Snowflake stage...
[2026-02-17T08:05:33.231+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315291.json to Snowflake stage...
[2026-02-17T08:05:33.816+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315301.json to Snowflake stage...
[2026-02-17T08:05:34.421+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315311.json to Snowflake stage...
[2026-02-17T08:05:35.036+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315323.json to Snowflake stage...
[2026-02-17T08:05:35.627+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315334.json to Snowflake stage...
[2026-02-17T08:05:36.198+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315346.json to Snowflake stage...
[2026-02-17T08:05:36.985+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315356.json to Snowflake stage...
[2026-02-17T08:05:37.484+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315367.json to Snowflake stage...
[2026-02-17T08:05:38.086+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315378.json to Snowflake stage...
[2026-02-17T08:05:38.581+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315389.json to Snowflake stage...
[2026-02-17T08:05:39.066+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315399.json to Snowflake stage...
[2026-02-17T08:05:39.698+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315411.json to Snowflake stage...
[2026-02-17T08:05:40.827+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315424.json to Snowflake stage...
[2026-02-17T08:05:42.500+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315437.json to Snowflake stage...
[2026-02-17T08:05:43.267+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315451.json to Snowflake stage...
[2026-02-17T08:05:44.025+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315462.json to Snowflake stage...
[2026-02-17T08:05:49.992+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315474.json to Snowflake stage...
[2026-02-17T08:05:50.530+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315485.json to Snowflake stage...
[2026-02-17T08:05:51.142+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315496.json to Snowflake stage...
[2026-02-17T08:05:55.673+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771315507.json to Snowflake stage...
[2026-02-17T08:05:56.278+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315088.json to Snowflake stage...
[2026-02-17T08:05:56.753+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315099.json to Snowflake stage...
[2026-02-17T08:05:57.298+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315110.json to Snowflake stage...
[2026-02-17T08:05:59.333+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315121.json to Snowflake stage...
[2026-02-17T08:05:59.824+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315133.json to Snowflake stage...
[2026-02-17T08:06:00.293+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315145.json to Snowflake stage...
[2026-02-17T08:06:00.748+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315156.json to Snowflake stage...
[2026-02-17T08:06:01.273+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315167.json to Snowflake stage...
[2026-02-17T08:06:01.756+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315178.json to Snowflake stage...
[2026-02-17T08:06:02.430+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315190.json to Snowflake stage...
[2026-02-17T08:06:03.067+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315202.json to Snowflake stage...
[2026-02-17T08:06:03.715+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315213.json to Snowflake stage...
[2026-02-17T08:06:04.340+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315225.json to Snowflake stage...
[2026-02-17T08:06:04.972+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315236.json to Snowflake stage...
[2026-02-17T08:06:05.627+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315247.json to Snowflake stage...
[2026-02-17T08:06:06.267+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315259.json to Snowflake stage...
[2026-02-17T08:06:06.957+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315271.json to Snowflake stage...
[2026-02-17T08:06:07.709+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315283.json to Snowflake stage...
[2026-02-17T08:06:08.323+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315295.json to Snowflake stage...
[2026-02-17T08:06:08.885+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315305.json to Snowflake stage...
[2026-02-17T08:06:09.382+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315316.json to Snowflake stage...
[2026-02-17T08:06:09.869+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315326.json to Snowflake stage...
[2026-02-17T08:06:10.510+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315339.json to Snowflake stage...
[2026-02-17T08:06:11.136+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315350.json to Snowflake stage...
[2026-02-17T08:06:11.691+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315360.json to Snowflake stage...
[2026-02-17T08:06:12.184+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315372.json to Snowflake stage...
[2026-02-17T08:06:12.820+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315382.json to Snowflake stage...
[2026-02-17T08:06:13.439+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315392.json to Snowflake stage...
[2026-02-17T08:06:14.104+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315404.json to Snowflake stage...
[2026-02-17T08:06:15.212+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315416.json to Snowflake stage...
[2026-02-17T08:06:15.720+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315429.json to Snowflake stage...
[2026-02-17T08:06:16.339+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315444.json to Snowflake stage...
[2026-02-17T08:06:17.635+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315455.json to Snowflake stage...
[2026-02-17T08:06:18.287+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315467.json to Snowflake stage...
[2026-02-17T08:06:18.821+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315478.json to Snowflake stage...
[2026-02-17T08:06:19.621+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315489.json to Snowflake stage...
[2026-02-17T08:06:20.297+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AMZN/1771315500.json to Snowflake stage...
[2026-02-17T08:06:21.250+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/GOOGL/1771315086.json to Snowflake stage...
[2026-02-17T08:06:21.781+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/GOOGL/1771315097.json to Snowflake stage...
