[2026-02-17T06:00:17.942+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T06:00:18.179+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T05:55:00+00:00 [queued]>
[2026-02-17T06:00:18.233+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T05:55:00+00:00 [queued]>
[2026-02-17T06:00:18.246+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T06:00:18.338+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-17 05:55:00+00:00
[2026-02-17T06:00:18.451+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1921) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T06:00:18.464+0000] {standard_task_runner.py:64} INFO - Started process 2083 to run task
[2026-02-17T06:00:18.455+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-17T05:55:00+00:00', '--job-id', '1465', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpih327dth']
[2026-02-17T06:00:18.472+0000] {standard_task_runner.py:91} INFO - Job 1465: Subtask download_minio
[2026-02-17T06:00:18.944+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-17T05:55:00+00:00 [running]> on host 353dfeb821e2
[2026-02-17T06:00:19.687+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T05:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T05:55:00+00:00'
[2026-02-17T06:00:19.702+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T06:00:35.941+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221446.json
[2026-02-17T06:00:35.970+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221459.json
[2026-02-17T06:00:35.994+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221471.json
[2026-02-17T06:00:36.051+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221483.json
[2026-02-17T06:00:36.091+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221496.json
[2026-02-17T06:00:36.126+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221508.json
[2026-02-17T06:00:36.149+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221522.json
[2026-02-17T06:00:36.171+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221533.json
[2026-02-17T06:00:36.199+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221545.json
[2026-02-17T06:00:36.238+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221557.json
[2026-02-17T06:00:36.254+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221568.json
[2026-02-17T06:00:36.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221580.json
[2026-02-17T06:00:36.297+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221592.json
[2026-02-17T06:00:36.318+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221603.json
[2026-02-17T06:00:36.342+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221615.json
[2026-02-17T06:00:36.375+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221627.json
[2026-02-17T06:00:36.395+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221639.json
[2026-02-17T06:00:36.416+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221650.json
[2026-02-17T06:00:36.427+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221661.json
[2026-02-17T06:00:36.441+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221673.json
[2026-02-17T06:00:36.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221686.json
[2026-02-17T06:00:36.485+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221698.json
[2026-02-17T06:00:36.515+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221709.json
[2026-02-17T06:00:36.545+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221720.json
[2026-02-17T06:00:36.576+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221733.json
[2026-02-17T06:00:36.604+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221744.json
[2026-02-17T06:00:36.628+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221757.json
[2026-02-17T06:00:36.649+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221768.json
[2026-02-17T06:00:36.679+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221779.json
[2026-02-17T06:00:36.723+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221792.json
[2026-02-17T06:00:36.779+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221807.json
[2026-02-17T06:00:36.807+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221820.json
[2026-02-17T06:00:36.833+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221831.json
[2026-02-17T06:00:36.864+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221843.json
[2026-02-17T06:00:36.893+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221858.json
[2026-02-17T06:00:36.974+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221871.json
[2026-02-17T06:00:36.999+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221883.json
[2026-02-17T06:00:37.045+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1771221895.json
