[2026-02-04T09:47:02.358+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-04T09:47:02.397+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T09:46:00+00:00 [queued]>
[2026-02-04T09:47:02.406+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T09:46:00+00:00 [queued]>
[2026-02-04T09:47:02.407+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-04T09:47:02.421+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-04 09:46:00+00:00
[2026-02-04T09:47:02.434+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=74807) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-04T09:47:02.435+0000] {standard_task_runner.py:64} INFO - Started process 74822 to run task
[2026-02-04T09:47:02.434+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-04T09:46:00+00:00', '--job-id', '898', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp2ja0k0re']
[2026-02-04T09:47:02.437+0000] {standard_task_runner.py:91} INFO - Job 898: Subtask download_minio
[2026-02-04T09:47:02.528+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T09:46:00+00:00 [running]> on host 1a57f62d265e
[2026-02-04T09:47:02.649+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-04T09:46:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-04T09:46:00+00:00'
[2026-02-04T09:47:02.651+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-04T09:47:02.865+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190211.json
[2026-02-04T09:47:02.874+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190221.json
[2026-02-04T09:47:02.883+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190233.json
[2026-02-04T09:47:02.892+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190244.json
[2026-02-04T09:47:02.900+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190256.json
[2026-02-04T09:47:02.909+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190268.json
[2026-02-04T09:47:02.918+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190278.json
[2026-02-04T09:47:02.928+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190289.json
[2026-02-04T09:47:02.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190300.json
[2026-02-04T09:47:02.947+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190310.json
[2026-02-04T09:47:02.955+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190323.json
[2026-02-04T09:47:02.963+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190333.json
[2026-02-04T09:47:02.972+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190344.json
[2026-02-04T09:47:02.981+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190356.json
[2026-02-04T09:47:02.991+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190368.json
[2026-02-04T09:47:03.000+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190378.json
[2026-02-04T09:47:03.009+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190388.json
[2026-02-04T09:47:03.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190399.json
[2026-02-04T09:47:03.027+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190410.json
[2026-02-04T09:47:03.037+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190421.json
[2026-02-04T09:47:03.046+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190432.json
