[2026-02-17T11:47:51.237+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-17T11:47:51.457+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-17T11:40:00+00:00 [queued]>
[2026-02-17T11:47:51.484+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-17T11:40:00+00:00 [queued]>
[2026-02-17T11:47:51.486+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-17T11:47:51.561+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-02-17 11:40:00+00:00
[2026-02-17T11:47:51.618+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=40502) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-17T11:47:51.622+0000] {standard_task_runner.py:64} INFO - Started process 40568 to run task
[2026-02-17T11:47:51.619+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-02-17T11:40:00+00:00', '--job-id', '1547', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpuj_kwomp']
[2026-02-17T11:47:51.630+0000] {standard_task_runner.py:91} INFO - Job 1547: Subtask load_snowflake
[2026-02-17T11:47:51.854+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-17T11:40:00+00:00 [running]> on host bc06947cd9a6
[2026-02-17T11:47:52.215+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-02-17T11:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-17T11:40:00+00:00'
[2026-02-17T11:47:52.218+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-17T11:47:52.345+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-02-17T11:47:52.348+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-02-17T11:47:53.603+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771324930.json to Snowflake stage...
[2026-02-17T11:47:55.269+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771324943.json to Snowflake stage...
[2026-02-17T11:47:55.889+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771324953.json to Snowflake stage...
[2026-02-17T11:47:56.851+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771324964.json to Snowflake stage...
[2026-02-17T11:47:57.501+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771324974.json to Snowflake stage...
[2026-02-17T11:47:58.135+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771324985.json to Snowflake stage...
[2026-02-17T11:47:58.771+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771324996.json to Snowflake stage...
[2026-02-17T11:47:59.423+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325007.json to Snowflake stage...
[2026-02-17T11:48:00.039+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325017.json to Snowflake stage...
[2026-02-17T11:48:00.859+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325028.json to Snowflake stage...
[2026-02-17T11:48:01.568+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325039.json to Snowflake stage...
[2026-02-17T11:48:02.280+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325049.json to Snowflake stage...
[2026-02-17T11:48:02.995+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325059.json to Snowflake stage...
[2026-02-17T11:48:03.630+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325069.json to Snowflake stage...
[2026-02-17T11:48:04.223+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325080.json to Snowflake stage...
[2026-02-17T11:48:04.789+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325090.json to Snowflake stage...
[2026-02-17T11:48:05.439+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325101.json to Snowflake stage...
[2026-02-17T11:48:06.099+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325112.json to Snowflake stage...
[2026-02-17T11:48:06.736+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325122.json to Snowflake stage...
[2026-02-17T11:48:07.393+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325132.json to Snowflake stage...
[2026-02-17T11:48:07.965+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325143.json to Snowflake stage...
[2026-02-17T11:48:09.371+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325153.json to Snowflake stage...
[2026-02-17T11:48:10.434+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325163.json to Snowflake stage...
[2026-02-17T11:48:11.154+0000] {logging_mixin.py:188} INFO - Uploading /opt/***/data/minio/AAPL/1771325174.json to Snowflake stage...
